"Entity","Labels"
"e_1001","cat_1001;cat_1003;cat_1004;cat_1006;cat_1007;cat_1010;cat_1011;cat_1014;cat_1018;cat_1020;cat_1023;cat_1025;cat_1027;cat_1030;cat_1031;cat_1033;cat_1034;cat_1038;cat_1039;cat_1041;cat_1042;cat_1043;cat_1045;cat_1046;cat_1047;cat_1050"
"e_1002","cat_1000;cat_1002;cat_1003;cat_1005;cat_1007;cat_1008;cat_1010;cat_1011;cat_1014;cat_1017;cat_1018;cat_1019;cat_1021;cat_1024;cat_1029;cat_1030;cat_1031;cat_1032;cat_1034;cat_1039;cat_1040;cat_1042;cat_1043;cat_1044;cat_1045;cat_1046;cat_1047;cat_1048;cat_1049"
"e_1003","cat_1000;cat_1002;cat_1003;cat_1005;cat_1006;cat_1008;cat_1011;cat_1013;cat_1017;cat_1021;cat_1022;cat_1027;cat_1028;cat_1030;cat_1031;cat_1032;cat_1033;cat_1036;cat_1038;cat_1044;cat_1045;cat_1048"
"e_1004","cat_1000;cat_1001;cat_1004;cat_1005;cat_1006;cat_1007;cat_1011;cat_1012;cat_1014;cat_1016;cat_1018;cat_1019;cat_1022;cat_1023;cat_1025;cat_1026;cat_1027;cat_1028;cat_1029;cat_1033;cat_1034;cat_1039;cat_1041;cat_1042;cat_1043;cat_1048;cat_1049;cat_1050"
"e_1005","cat_1001;cat_1004;cat_1005;cat_1006;cat_1009;cat_1011;cat_1012;cat_1015;cat_1016;cat_1020;cat_1021;cat_1022;cat_1023;cat_1024;cat_1027;cat_1028;cat_1029;cat_1031;cat_1032;cat_1036;cat_1037;cat_1039;cat_1041;cat_1043;cat_1044;cat_1045;cat_1046;cat_1049;cat_1050"
"e_1006","cat_1000;cat_1001;cat_1003;cat_1004;cat_1005;cat_1006;cat_1007;cat_1010;cat_1012;cat_1013;cat_1015;cat_1018;cat_1019;cat_1020;cat_1021;cat_1022;cat_1023;cat_1024;cat_1025;cat_1027;cat_1032;cat_1042;cat_1045;cat_1046"
"e_1007","cat_1000;cat_1002;cat_1003;cat_1005;cat_1007;cat_1008;cat_1010;cat_1012;cat_1013;cat_1015;cat_1016;cat_1017;cat_1023;cat_1024;cat_1026;cat_1028;cat_1029;cat_1031;cat_1034;cat_1036;cat_1037;cat_1039;cat_1041;cat_1042;cat_1043;cat_1044;cat_1045;cat_1046"
"e_1008","cat_1007;cat_1008;cat_1009;cat_1010;cat_1012;cat_1013;cat_1014;cat_1016;cat_1019;cat_1022;cat_1025;cat_1026;cat_1033;cat_1038;cat_1040;cat_1041;cat_1043;cat_1044;cat_1045;cat_1046;cat_1048"
"e_1009","cat_1002;cat_1003;cat_1005;cat_1008;cat_1010;cat_1012;cat_1015;cat_1018;cat_1019;cat_1020;cat_1021;cat_1024;cat_1025;cat_1026;cat_1027;cat_1029;cat_1031;cat_1032;cat_1036;cat_1037;cat_1038;cat_1040;cat_1046;cat_1050"
"e_1010","cat_1001;cat_1003;cat_1004;cat_1006;cat_1008;cat_1011;cat_1012;cat_1015;cat_1018;cat_1019;cat_1020;cat_1021;cat_1024;cat_1026;cat_1029;cat_1031;cat_1033;cat_1036;cat_1042;cat_1045;cat_1050"
